Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2020-06-15,0,7.295,7.414,0.0636,0.2555,0.0
OCUL,2020-06-16,1,7.895,7.59,0.9122,0.5731,1.0
OCUL,2020-06-17,1,8.79,7.858,0.3536,0.8725,0.0
OCUL,2020-06-18,1,8.815,8.152,0.3182,0.8068,0.0
OCUL,2020-06-19,1,8.76,8.47,0.2404,0.7149,0.0
OCUL,2020-06-22,1,8.94,8.81,0.0141,0.2281,0.0
OCUL,2020-06-23,1,8.975,8.902,0.0354,0.1796,0.0
OCUL,2020-06-24,1,8.84,8.83,0.2263,0.1826,0.0
OCUL,2020-06-25,0,8.685,8.85,0.0071,0.1528,-1.0
OCUL,2020-06-26,0,8.69,8.802,0.0,0.159,0.0
OCUL,2020-06-29,0,8.535,8.688,0.2192,0.2192,0.0
OCUL,2020-06-30,0,8.31,8.536,0.099,0.2122,0.0
OCUL,2020-07-01,0,8.27,8.46,0.0424,0.2158,0.0
OCUL,2020-07-02,0,8.35,8.402,0.0707,0.1733,0.0
OCUL,2020-07-06,0,8.105,8.226,0.4172,0.2412,0.0
OCUL,2020-07-07,0,7.66,8.052,0.2121,0.3776,0.0
OCUL,2020-07-08,0,7.54,7.918,0.0424,0.4115,0.0
OCUL,2020-07-09,0,7.563,7.7692,0.0099,0.3714,0.0
